date,pv
2003-07-07,4691604.0429717405
2003-07-08,4707991.58478698
2003-07-09,4681003.277255369
2003-07-10,4724781.021755386
2003-07-11,4727580.9745341
2003-07-14,4752977.593657786
2003-07-15,4711210.01650094
2003-07-16,4758741.282821511
2003-07-17,4714825.628827181
2003-07-18,4710077.9278199505
2003-07-21,4691450.855355336
2003-07-22,4669253.093575325
2003-07-23,4680420.644380139
2003-07-24,4707042.748259966
2003-07-25,4770148.498944136
2003-07-28,4799867.395273948
2003-07-29,4786482.56883118
2003-07-30,4804478.969516884
2003-07-31,4770088.820054181
2003-08-01,4774342.662102511
2003-08-04,4790099.755546067
2003-08-05,4737433.718457641
2003-08-06,4725224.375327818
2003-08-07,4768701.799594753
2003-08-08,4817716.483312694
2003-08-11,4820177.62095267
2003-08-12,4813426.090909762
2003-08-13,4840478.814919371
2003-08-14,4847378.648722495
2003-08-15,4847185.362652146
2003-08-18,4901120.975190011
2003-08-19,4874342.256428369
2003-08-20,4873431.043878999
2003-08-21,4881211.528076428
2003-08-22,4891860.85470376
2003-08-25,4776655.9106022315
2003-08-26,4885244.962818988
2003-08-27,4922538.125250788
2003-08-28,4924345.728342538
2003-08-29,4936054.167990392
2003-09-01,4955965.674497708
2003-09-02,4964724.011209627
2003-09-03,4928116.640782889
2003-09-04,4936380.90671501
2003-09-05,4976793.858487903
2003-09-08,5025339.203154756
2003-09-09,5095871.968279663
2003-09-10,5092389.677556554
2003-09-11,5121347.67103302
2003-09-12,5066371.807940318
2003-09-15,4951482.802360368
2003-09-16,5037246.238755501
2003-09-17,5018934.903739091
2003-09-18,4904436.621323319
2003-09-19,4903364.205993133
2003-09-22,4916736.619207926
2003-09-23,4961120.130122038
2003-09-24,5038882.37251995
2003-09-25,5034247.331538626
2003-09-26,5022095.959177408
2003-09-29,5043644.59538153
2003-09-30,5089955.604762175
2003-10-01,5100081.986381338
2003-10-02,5060930.1595904585
2003-10-03,5165977.081979493
2003-10-06,5262958.683746028
2003-10-07,5231137.1895622425
2003-10-08,5241321.590969034
2003-10-09,5304331.020358418
2003-10-10,5319854.8222186975
2003-10-13,5391859.239132977
2003-10-14,5341428.733372609
2003-10-15,5374594.274559246
2003-10-16,5445714.177705915
2003-10-17,5449656.276127247
2003-10-20,5384254.534514571
2003-10-21,5283125.562076707
2003-10-22,5256793.259948245
2003-10-23,5206975.530106193
2003-10-24,5253317.907994685
2003-10-27,5279499.567675565
2003-10-28,5241933.560502261
2003-10-29,5286834.318017663
2003-10-30,5357325.738598124
2003-10-31,5468696.142625774
2003-11-03,5514372.39487432
2003-11-04,5533364.508024612
2003-11-05,5507045.251534055
2003-11-06,5516589.224610705
2003-11-07,5512761.79989904
2003-11-10,5530460.438998557
2003-11-11,5565120.611304768
2003-11-12,5580776.360526754
2003-11-13,5503657.89632714
2003-11-14,5413781.1713716
2003-11-17,5550592.631343144
2003-11-18,5507071.5620154515
2003-11-19,5476221.924137154
2003-11-20,5453151.885553724
2003-11-21,5487450.236548139
2003-11-24,5548695.966129343
2003-11-25,5629706.49072046
2003-11-26,6735480.6241844315
2003-11-27,5657190.485267112
2003-11-28,5674583.749365833
2003-12-01,5814747.86810277
2003-12-02,5824623.315470275
2003-12-03,5906058.15306836
2003-12-04,5947917.582542174
2003-12-05,5884742.127829059
2003-12-08,5921269.67024112
2003-12-09,6003011.83077302
2003-12-10,6013877.076514819
2003-12-11,6073854.248087761
2003-12-12,6129144.370474717
2003-12-15,6172829.849620398
2003-12-16,6182592.1085690055
2003-12-17,6204910.711328913
2003-12-18,6271337.255117948
2003-12-19,6357695.949198264
2003-12-22,6452850.622204606
2003-12-23,6445143.196550564
2003-12-24,6454529.16474393
2003-12-25,7739968.497581621
2003-12-26,6540038.681527404
2003-12-29,6630810.840819259
2003-12-30,6530059.5517663965
2003-12-31,6482929.277438312
2004-01-01,6580524.053603707
2004-01-02,6666889.746278641
2004-01-05,6605123.335553019
2004-01-06,6493694.559573823
2004-01-07,6447912.34255939
