Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Instrument
500877,Apollo Tyres Ltd,APOLLOTYRE,Apollo Tyres Ltd,Active,A ,1.00,INE438A01022,Equity,,,,,
500878,Ceat Ltd.,CEATLTD,Ceat Ltd,Active,A ,10.00,INE482A01020,Equity,,,,,
500940,Finolex Industries Ltd.,FINPIPE,Finolex Industries Ltd,Active,A ,2.00,INE183A01024,Equity,,,,,
501301,Tata Investment Corporation Ltd.,TATAINVEST,Tata Investment Corporation Ltd,Active,A ,1.00,INE672A01026,Equity,,,,,
501423,Shaily Engineering Plastics Ltd.,SHAILY,Shaily Engineering Plastics Ltd,Active,A ,2.00,INE151G01028,Equity,,,,,
501425,The Bombay Burmah Trading Corporation Ltd.,BBTC,The Bombay Burmah Trading Corporation Ltd,Active,A ,2.00,INE050A01025,Equity,,,,,
501455,Greaves Cotton Ltd.,GREAVESCOT,Greaves Cotton Ltd,Active,A ,2.00,INE224A01026,Equity,,,,,
502219,BOROSIL RENEWABLES LIMITED,BORORENEW,Borosil Renewables Ltd,Active,A ,1.00,INE666D01022,Equity,,,,,
502355,Balkrishna Industries Ltd.,BALKRISIND,Balkrishna Industries Ltd-$,Active,A ,2.00,INE787D01026,Equity,,,,,
502986,Vardhman Textiles Limted,VTL,Vardhman Textiles Ltd,Active,A ,2.00,INE825A01020,Equity,,,,,
503100,The Phoenix Mills Ltd.,PHOENIXLTD,The Phoenix Mills Ltd,Active,A ,2.00,INE211B01039,Equity,,,,,
503310,Swan Corp Limited,SWANCORP,Swan Corp Ltd,Active,A ,1.00,INE665A01038,Equity,,,,,
503806,SRF Ltd.,SRF,SRF Ltd,Active,A ,10.00,INE647A01010,Equity,,,,,
503960,Bharat Bijlee Ltd.,BBL,Bharat Bijlee Ltd-$,Active,A ,5.00,INE464A01036,Equity,,,,,
504067,Zensar Technologies Ltd.,ZENSARTECH,Zensar Technologies Ltd,Active,A ,2.00,INE520A01027,Equity,,,,,
504614,Sarda Energy & Minerals Ltd,SARDAEN,Sarda Energy & Minerals Ltd-$,Active,A ,1.00,INE385C01021,Equity,,,,,
504973,CHOLAMANDALAM FINANCIAL HOLDINGS LIMITED,CHOLAHLDNG,Cholamandalam Financial Holdings Ltd,Active,A ,1.00,INE149A01033,Equity,,,,,
505200,Eicher Motors Ltd.,EICHERMOT,Eicher Motors Ltd,Active,A ,1.00,INE066A01021,Equity,,,,,
505255,GMM Pfaudler Ltd.,GMMPFAUDLR,GMM Pfaudler Ltd,Active,A ,2.00,INE541A01023,Equity,,,,,
505283,Kirloskar Pneumatic Co.Ltd.,KIRLPNU,Kirloskar Pneumatic Company Ltd,Active,A ,2.00,INE811A01020,Equity,,,,,
505533,WESTLIFE FOODWORLD LIMITED,WESTLIFE,Westlife Foodworld Ltd,Active,A ,2.00,INE274F01020,Equity,,,,,
505537,Zee Entertainment Enterprises Ltd.,ZEEL,Zee Entertainment Enterprises Ltd,Active,A ,1.00,INE256A01028,Equity,,,,,
505700,Elecon Engineering Co.Ltd.,ELECON,Elecon Engineering Company Ltd,Active,A ,1.00,INE205B01031,Equity,,,,,
505714,Gabriel India Ltd.,GABRIEL,Gabriel India Ltd-$,Active,A ,1.00,INE524A01029,Equity,,,,,
505790,Schaeffler India Limited,SCHAEFFLER,Schaeffler India Ltd,Active,A ,2.00,INE513A01022,Equity,,,,,
506076,Grindwell Norton Ltd.,GRINDWELL,Grindwell Norton Ltd-$,Active,A ,5.00,INE536A01023,Equity,,,,,
506222,Styrenix Performance Materials Limited,STYRENIX,Styrenix Performance Materials Ltd,Active,A ,10.00,INE189B01011,Equity,,,,,
506285,Bayer CropScience Limited.,BAYERCROP,Bayer CropScience Ltd,Active,A ,10.00,INE462A01022,Equity,,,,,
506395,Coromandel International Limited,COROMANDEL,Coromandel International Ltd,Active,A ,1.00,INE169A01031,Equity,,,,,
