nohup: ignoring input
Total symbols to ingest: 501
  [394/501] ❌ RAMCOCEM.NS: cursor already closed
  [395/501] ❌ RBLBANK.NS: cursor already closed
  [396/501] ❌ RCF.NS: cursor already closed
  [397/501] ❌ RECLTD.NS: cursor already closed
  [398/501] ❌ REDINGTON.NS: cursor already closed
  [399/501] ❌ RELIANCE.NS: cursor already closed
  [400/501] ❌ RELINFRA.NS: cursor already closed
  [401/501] ❌ RHIM.NS: cursor already closed
  [402/501] ❌ RITES.NS: cursor already closed
  [403/501] ❌ RKFORGE.NS: cursor already closed
  [404/501] ❌ RPOWER.NS: cursor already closed
  [405/501] ❌ RRKABEL.NS: cursor already closed
  [406/501] ❌ RVNL.NS: cursor already closed
  [407/501] ❌ SAGILITY.NS: cursor already closed
  [408/501] ❌ SAILIFE.NS: cursor already closed
  [409/501] ❌ SAIL.NS: cursor already closed
  [410/501] ❌ SAMMAANCAP.NS: cursor already closed
  [411/501] ❌ SAPPHIRE.NS: cursor already closed
  [412/501] ❌ SARDAEN.NS: cursor already closed
  [413/501] ❌ SAREGAMA.NS: cursor already closed
  [414/501] ❌ SBFC.NS: cursor already closed
  [415/501] ❌ SBICARD.NS: cursor already closed
  [416/501] ❌ SBILIFE.NS: cursor already closed
  [417/501] ❌ SBIN.NS: cursor already closed
  [418/501] ❌ SCHAEFFLER.NS: cursor already closed
  [419/501] ❌ SCHNEIDER.NS: cursor already closed
  [420/501] ❌ SCI.NS: cursor already closed
  [421/501] ❌ SHREECEM.NS: cursor already closed
  [422/501] ❌ SHRIRAMFIN.NS: cursor already closed
  [423/501] ❌ SHYAMMETL.NS: cursor already closed
  [424/501] ❌ SIEMENS.NS: cursor already closed
  [425/501] ❌ SIGNATURE.NS: cursor already closed
  [426/501] ❌ SJVN.NS: cursor already closed
  [427/501] ❌ SOBHA.NS: cursor already closed
  [428/501] ❌ SOLARINDS.NS: cursor already closed
  [429/501] ❌ SONACOMS.NS: cursor already closed
  [430/501] ❌ SONATSOFTW.NS: cursor already closed
  [431/501] ❌ SRF.NS: cursor already closed
  [432/501] ❌ STARHEALTH.NS: cursor already closed
  [433/501] ❌ SUMICHEM.NS: cursor already closed
  [434/501] ❌ SUNDARMFIN.NS: cursor already closed
  [435/501] ❌ SUNDRMFAST.NS: cursor already closed
  [436/501] ❌ SUNPHARMA.NS: cursor already closed
  [437/501] ❌ SUNTV.NS: cursor already closed
  [438/501] ❌ SUPREMEIND.NS: cursor already closed
  [439/501] ❌ SUZLON.NS: cursor already closed
  [440/501] ❌ SWANCORP.NS: cursor already closed
  [441/501] ❌ SWIGGY.NS: cursor already closed
  [442/501] ❌ SYNGENE.NS: cursor already closed
  [443/501] ❌ SYRMA.NS: cursor already closed
  [444/501] ❌ TARIL.NS: cursor already closed
  [445/501] ❌ TATACHEM.NS: cursor already closed
  [446/501] ❌ TATACOMM.NS: cursor already closed
  [447/501] ❌ TATACONSUM.NS: cursor already closed
  [448/501] ❌ TATAELXSI.NS: cursor already closed
  [449/501] ❌ TATAINVEST.NS: cursor already closed
  [450/501] ❌ TATAPOWER.NS: cursor already closed
  [451/501] ❌ TATASTEEL.NS: cursor already closed
  [452/501] ❌ TATATECH.NS: cursor already closed
  [453/501] ❌ TBOTEK.NS: cursor already closed
  [454/501] ❌ TCS.NS: cursor already closed
  [455/501] ❌ TECHM.NS: cursor already closed
  [456/501] ❌ TECHNOE.NS: cursor already closed
  [457/501] ❌ TEJASNET.NS: cursor already closed
  [458/501] ❌ THELEELA.NS: cursor already closed
  [459/501] ❌ THERMAX.NS: cursor already closed
  [460/501] ❌ TIINDIA.NS: cursor already closed
  [461/501] ❌ TIMKEN.NS: cursor already closed
  [462/501] ❌ TITAGARH.NS: cursor already closed
  [463/501] ❌ TITAN.NS: cursor already closed
  [464/501] ❌ TMPV.NS: cursor already closed
  [465/501] ❌ TORNTPHARM.NS: cursor already closed
  [466/501] ❌ TORNTPOWER.NS: cursor already closed
  [467/501] ❌ TRENT.NS: cursor already closed
  [468/501] ❌ TRIDENT.NS: cursor already closed
  [469/501] ❌ TRITURBINE.NS: cursor already closed
  [470/501] ❌ TRIVENI.NS: cursor already closed
  [471/501] ❌ TTML.NS: cursor already closed
  [472/501] ❌ TVSMOTOR.NS: cursor already closed
  [473/501] ❌ UBL.NS: cursor already closed
  [474/501] ❌ UCOBANK.NS: cursor already closed
  [475/501] ❌ ULTRACEMCO.NS: cursor already closed
  [476/501] ❌ UNIONBANK.NS: cursor already closed
  [477/501] ❌ UNITDSPR.NS: cursor already closed
  [478/501] ❌ UNOMINDA.NS: cursor already closed
  [479/501] ❌ UPL.NS: cursor already closed
  [480/501] ❌ USHAMART.NS: cursor already closed
  [481/501] ❌ UTIAMC.NS: cursor already closed
  [482/501] ❌ VBL.NS: cursor already closed
  [483/501] ❌ VEDL.NS: cursor already closed
  [484/501] ❌ VENTIVE.NS: cursor already closed
  [485/501] ❌ VGUARD.NS: cursor already closed
  [486/501] ❌ VIJAYA.NS: cursor already closed
  [487/501] ❌ VMM.NS: cursor already closed
  [488/501] ❌ VOLTAS.NS: cursor already closed
  [489/501] ❌ VTL.NS: cursor already closed
  [490/501] ❌ WAAREEENER.NS: cursor already closed
  [491/501] ❌ WELCORP.NS: cursor already closed
  [492/501] ❌ WELSPUNLIV.NS: cursor already closed
  [493/501] ❌ WHIRLPOOL.NS: cursor already closed
  [494/501] ❌ WIPRO.NS: cursor already closed
  [495/501] ❌ WOCKPHARMA.NS: cursor already closed
  [496/501] ❌ YESBANK.NS: cursor already closed
  [497/501] ❌ ZEEL.NS: cursor already closed
  [498/501] ❌ ZENSARTECH.NS: cursor already closed
  [499/501] ❌ ZENTEC.NS: cursor already closed
  [500/501] ❌ ZFCVINDIA.NS: cursor already closed
  [501/501] ❌ ZYDUSLIFE.NS: cursor already closed

🎉 Done. Inserted: 50768 | Skipped: 1 | Failed: 293
